Food Item,Price (INR),Restaurant,Rating
Chicken Internet,31.25,Mio Amore,3.9
Crispy Chicken Burger,48.21,Mio Amore,4.5
Chicken Marble Sandwich,42.46,Mio Amore,3.1
Chicken Kebab Sub,39.29,Mio Amore,3.9
Tea Time Khari,42.37,Mio Amore,4.0
Golden Wings,42.37,Mio Amore,4.9
Classic Cheestix,50.85,Mio Amore,3.6
Salted Cookies [150 g],50.85,Mio Amore,3.6
Shrewsbury Cookies [150 g],76.27,Mio Amore,4.2
Chocolate Cookies [150 g],50.85,Mio Amore,4.0
Cashew Nut Cookies [150 g],50.85,Mio Amore,4.9
Chocolate Fudge Cookies [150 g],76.27,Mio Amore,3.1
Fruit and Nut Cookies [150 g],76.27,Mio Amore,4.3
Multigrain Cookies [150 g],76.27,Mio Amore,4.5
Butterscotch Delight Pastry,37.29,Mio Amore,4.1
Pure Chocolate Pastry,45.76,Mio Amore,3.3
Black Forest Pastry,45.76,Mio Amore,3.5
Vanilla Tutti Frutti Pastry,32.2,Mio Amore,4.5
Choco Chips Pastry,42.37,Mio Amore,3.4
Strawberry Fantasy Pastry,32.2,Mio Amore,4.7
Choco Vanilla Mousse,46.61,Mio Amore,3.6
Red Velvet Pastry,45.76,Mio Amore,4.5
Cappuccino Pastry,37.29,Mio Amore,3.7
Caramel Pastry,21.19,Mio Amore,3.2
Choco Crunch Pastry,37.29,Mio Amore,4.9
Hazelnut Pastry,38.0,Mio Amore,3.4
"Choco Muffin [300 g, 6 Pieces]",127.12,Mio Amore,3.3
"Cashew Cup Muffin [300 g, 6 Pieces]",127.12,Mio Amore,4.3
Chocolate Brownie [50 g],29.66,Mio Amore,4.5
Chocolate Volcano Cake [100 g],49.15,Mio Amore,4.2
"Date Walnut Slice [300 g, 5 Pieces]",105.93,Mio Amore,3.0
"Crown Cake [300 g, 6 Pieces]",87.0,Mio Amore,3.3
"Banana Slice [275 g, 5 Pieces]",72.0,Mio Amore,4.3
Brown Bread [400 g],40.0,Mio Amore,3.4
Sandwich Bread [400 g],38.0,Mio Amore,4.9
Chocolate [Single],10.17,Mio Amore,3.6
Choco Mio [Small],59.32,Mio Amore,4.0
Choco Mio [Large],144.07,Mio Amore,3.6
Double Heart Chocolate,12.71,Mio Amore,3.9
Gift of Love,127.12,Mio Amore,3.8
Tomato Ketchup,1.0,Mio Amore,4.3
Women's Day Special Cake,423.73,Mio Amore,4.2
Petal Princess Cake,317.8,Mio Amore,4.3
Holi Pichkari Cake,296.61,Mio Amore,3.6
Holi Hai Cake,254.24,Mio Amore,4.2
Thandai Mousse,50.85,Mio Amore,3.7
Chicken Sausage Roll,40.18,Mio Amore,4.9
Strawberry Love Cake,317.8,Mio Amore,4.8
Blueberry Puree Cake,334.75,Mio Amore,3.1
Choco Delight Cake,233.05,Mio Amore,4.5
"Chocolate Heart Cake [Medium, 580 g]",360.17,Mio Amore,3.4
Butterscotch Delight Medium,338.98,Mio Amore,3.6
Choco Chips Round Medium,338.98,Mio Amore,4.2
Choco Chips Round Large,614.41,Mio Amore,4.4
Red Velvet Heart,360.0,Mio Amore,3.6
Rasmalai Cake,330.51,Mio Amore,3.9
Dual Forest Heart Cake,381.36,Mio Amore,3.5
Hazelnut Cake,338.98,Mio Amore,3.5
Kesar Pista Cake,317.8,Mio Amore,3.5
Almond Honey Cake,317.8,Mio Amore,3.3
Funfetti Cake,279.66,Mio Amore,4.8
Choco Feather Cake,360.16,Mio Amore,4.7
Choco Teddy Cake,360.16,Mio Amore,3.8
Butterscotch Cake,423.72,Mio Amore,3.1
Egg Patties,21.0,Mio Amore,4.4
Chicken Manchurian Patties,31.0,Mio Amore,3.5
